title,type,release_year,mpa_rating,runtime,seasons,imdb_id,imdb_score,imdb_votes
Imposters,SHOW,2017,TV_14,43,2.0,tt5212822,7.8,13238
Anne with an E,SHOW,2017,TV_G,46,3.0,tt5421602,8.7,51001
Manhunt,SHOW,2017,TV_14,43,2.0,tt5618256,8.1,57459
The Ballad of Buster Scruggs,MOVIE,2018,R,132,,tt6412452,7.3,141528
Okja,MOVIE,2017,PG_13,122,,tt3967856,7.3,116305
Santa Clarita Diet,SHOW,2017,TV_MA,29,3.0,tt5580540,7.9,64467
One Day at a Time,SHOW,2017,TV_PG,29,4.0,tt5339440,8.2,15669
The End of the F***ing World,SHOW,2017,TV_MA,21,2.0,tt6257970,8.1,177868
GLOW,SHOW,2017,TV_MA,34,4.0,tt0784878,8.0,44751
Shot Caller,MOVIE,2017,R,120,,tt4633690,7.3,83961
Castlevania,SHOW,2017,TV_MA,26,4.0,tt6517102,8.3,61114
The Kominsky Method,SHOW,2018,TV_MA,26,3.0,tt7255502,8.2,38232
Atypical,SHOW,2017,TV_14,31,4.0,tt6315640,8.3,81643
Alias Grace,SHOW,2017,TV_MA,44,1.0,tt1034007,7.7,31577
Roma,MOVIE,2018,R,135,,tt6155172,7.7,153508
A Series of Unfortunate Events,SHOW,2017,TV_PG,47,3.0,tt4834206,7.8,59239
American Vandal,SHOW,2017,TV_MA,33,2.0,tt6877772,8.1,29972
The Foreigner,MOVIE,2017,R,113,,tt4759848,7.0,112487
Icarus,MOVIE,2017,NOT_RATED,121,,tt6333060,7.9,48672
Violet Evergarden,SHOW,2018,TV_14,25,1.0,tt7078180,8.4,19940
Narcos: Mexico,SHOW,2018,TV_MA,56,3.0,tt8714904,8.4,80902
The Invisible Guest,MOVIE,2017,R,107,,tt4857264,8.0,170351
I Don't Feel at Home in This World Anymore,MOVIE,2017,NOT_RATED,93,,tt6149822,6.9,55549
Seven Seconds,SHOW,2018,TV_MA,62,1.0,tt6297682,7.7,15323
Devilman Crybaby,SHOW,2018,TV_MA,25,1.0,tt6660498,7.6,18575
I Am Not Your Negro,MOVIE,2017,R,93,,tt5804038,7.9,21632
Everything Sucks!,SHOW,2018,TV_14,24,1.0,tt7078710,7.5,18023
The Zookeeper's Wife,MOVIE,2017,PG_13,122,,tt1730768,7.0,42808
Outlaw King,MOVIE,2018,R,121,,tt6679794,6.9,69834
Queer Eye,SHOW,2018,TV_14,47,6.0,tt7259746,8.5,18147
The Night Comes for Us,MOVIE,2018,R,121,,tt6116856,6.9,25500
13 Reasons Why,SHOW,2017,TV_MA,58,4.0,tt1837492,7.5,282373
The Meyerowitz Stories (New and Selected),MOVIE,2017,NOT_RATED,112,,tt5536736,6.9,47971
To All the Boys I've Loved Before,MOVIE,2018,PG_13,100,,tt3846674,7.1,101175
The Dragon Prince,SHOW,2018,TV_Y7,27,3.0,tt8688814,8.4,21635
Everybody Knows,MOVIE,2018,R,132,,tt4964788,6.9,34009
The Guernsey Literary & Potato Peel Pie Society,MOVIE,2018,NOT_RATED,124,,tt1289403,7.3,44917
Evil Genius,SHOW,2018,TV_MA,48,1.0,tt8342862,7.5,27516
Mudbound,MOVIE,2017,R,120,,tt2396589,7.4,47676
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",MOVIE,2017,NOT_RATED,94,,tt7214762,7.7,25593
She-Ra and the Princesses of Power,SHOW,2018,TV_Y7,24,5.0,tt7745956,7.8,14935
Rascal Does Not Dream of Bunny Girl Senpai,SHOW,2018,TV_14,25,1.0,tt8993398,8.1,10400
Private Life,MOVIE,2018,R,123,,tt6394284,7.2,19023
Mirai,MOVIE,2018,PG,98,,tt6900448,7.0,14983
Hilda,SHOW,2018,TV_Y7,25,2.0,tt6385540,8.5,10162
Black Mirror: Bandersnatch,MOVIE,2018,R,90,,tt9495224,7.1,123377
Cable Girls,SHOW,2017,TV_MA,50,5.0,tt5674718,7.6,13855
RBG,MOVIE,2018,PG,98,,tt7689964,7.6,14037
Bāhubali 2: The Conclusion,MOVIE,2017,NOT_RATED,168,,tt4849438,8.2,91560
Mirage,MOVIE,2018,R,129,,tt7919356,7.4,52657
Hannah Gadsby: Nanette,MOVIE,2018,NOT_RATED,69,,tt8465676,8.1,12035
